Javanese court officials,anoniem,," anonymous, Java",nl,ca. 1820 - ca. 1870, ? Java, oil on paper,Rijksmuseum,ca. 1820 - ca. 1870,https://lh3.googleusercontent.com/E9pbUweicSThUFBXpATvlWlzEFp4kW4eibMjhZ91a9cKjTnloUd0Uu6M5VsVahCHo0bqyM9Y3GlrMFBfZ9Wth-KCj7U=s0
The Baptism of the Eunuch,Jacob de Wit,," Jacob de Wit (1695 - 12-Nov-1754), Amsterdam",nl,1748, Amsterdam, oil on canvas,Rijksmuseum,1748,https://lh3.googleusercontent.com/bI5dqTL3VhK1skYw2p-VzK9ai7LBt8VdxahFIxIM03s7l9pq3SF86_nY6umDr_P7DM5ZAmSoRflBNlfTrIsWAsDzAw=s0
Painting depicting a woman with raised right arm,anoniem,," anonymous, unknown",nl,ca. 1850 - ca. 1899, unknown, gouache (watercolor),Rijksmuseum,ca. 1850 - ca. 1899,https://lh5.ggpht.com/J-iU8SYOU5axj7388NdQ5xfScDxXQlX7lNEIqubMgnAttJW1vLHMfC18TZugR_3b74MIL_Uw4joYJ-DfQYbfkRXk-TJY=s0
Portrait of Leonardus van der Voort,Johan Bernard Scheffer,," Johan Bernard Scheffer (1765 - Jun 30,-1809)",nl,1799, Netherlands, Netherlands,Rijksmuseum,1799,https://lh4.ggpht.com/mD3WbdiDHSFeWrf4JmPFqq2jJuffY2_o8Kp_1JrGN-KtUd8bn3IzOPqgyGKM15VgZGguDiBLzJo-sDT7DEv6hTeb2Gc=s0
Joan Ketelaars Embassy to the Prince of Udaipur,anoniem,," Anonymous, Udaipur",nl,ca. 1711, Udaipur, Painted Cotton,Rijksmuseum,ca. 1711,https://lh3.googleusercontent.com/N3Gs8NBiayekv_slp24o_t6cCNm7arA4JD39RxnxKsKhM-1lGlaj9bZIyo8DqRvFe8JgATo_FUJhVgjIf7MTOkRHvsE=s0
Double portrait of Isaac Pontanus and Hendrik van Beek,Michiel van Musscher,," self-signed Michiel van Musscher (27-Jan-1645 - 20-Jun-1705), Amsterdam",nl,1689, Amsterdam, oil on tin,Rijksmuseum,1689,https://lh3.googleusercontent.com/6CbmQy7Z_UmWH1RB-YDCtCg4GjnYqLD9YdDmGaed-QKCmGEKeXjMDpZItw1O0WBnb0NUad58kO_R8jcJDJ0TixPh0dw=s0
Ladies company looks at stereoscopic photos,Jacob Spoel,," mentioned on object Jacob Spoel (18-Oct-1820 - 30-Oct-1868), Netherlands",nl,in of voor 1868, Netherlands, oil on panel,Rijksmuseum,in of voor 1868,https://lh6.ggpht.com/n1KVxVDUg5TETdpT4zCdJTVVr6wvtIimlN7Saxqi2x_z4zKHkibKTNPbuFwPzoaXQZV8avW0HjFyGEe4W3MFpPJiPJR8=s0
Portrait of the Cock Blomhoff family,Ishizaki Yushi,," their nurse and two enslaved servants, attributed to Ishizaki Yushi (1768 - 1846)",nl,1817, Japan, Japan,Rijksmuseum,1817,https://lh6.ggpht.com/VK4zTxsKnaZnfOgNyJsMYtt-wf1aGV8rdpIlYCQs4azxhuo_Go3VXkAKR9INbOS5v5v2bREOnlQolXrmK6dsznV3VCw=s0
Painting depicting a girl with a flower basket,anoniem,," anonymous, unknown",nl,ca. 1850 - ca. 1899, unknown, gouache (watercolor),Rijksmuseum,ca. 1850 - ca. 1899,https://lh4.ggpht.com/eXqEMw6pd-GCzNhE5wKBuPLGCVp11PyRwYUPgtevAcRz5xrxWwiF_2JvkVqKbmqF73FVaujg5k5JUKnACYZ6gYTOBUY=s0
Godliness,Cornelis Kruseman,," Cornelis Kruseman (25-Sep-1797 - 14-Nov-1857), Rome",nl,1823, Rome, oil on canvas,Rijksmuseum,1823,https://lh3.googleusercontent.com/yaw9GzONCR_DK_MrcJrs8GaoaDRU0_yWJTrpV9Pz4dL5VDQKWR4EoyuNRJuslNtzFA8p0YQjITAIPsDaFdlP78XCzPAF=s0
